Time;Type;Aux Temp;FPA Temp;Mean Temp;Max Temp;Min Temp;Pixels;Last FFC;Body temp min;Body temp max;Error min;Error max
28/11/2020 13:22:09;Forehead;"29,04000092";"29,06999969";"23,1";"25,13";"21,54";4;;"35,5";"35,9";"10,37";"10,77"
28/11/2020 13:22:28;Forehead;"29,31999969";"29,23999977";"30,73";"33,58";"21,21";77;;"35,5";"35,9";"1,92";"2,32"
28/11/2020 13:22:45;Forehead;"29,54000092";"29,39999962";"29,98";"32,8";"25,24";70;;"35,5";"35,9";"2,7";"3,1"
28/11/2020 13:23:01;Forehead;"29,71999931";"29,54999924";"30,74";"32,7";"21,09";77;;"35,5";"35,9";"2,8";"3,2"
28/11/2020 13:24:18;Forehead;"29,5";"29,48999977";"31,94";"33,52";"24,8";77;;"35,5";"35,9";"1,98";"2,38"
28/11/2020 13:24:42;Forehead;"29,70000076";"29,61000061";28;"33,07";20;208;;"35,5";"35,9";"2,43";"2,83"
28/11/2020 13:25:02;Forehead;"29,87000084";"29,75";"27,86";"32,66";"20,32";110;;"35,5";"35,9";"2,84";"3,24"
28/11/2020 13:25:17;Forehead;"30,02000046";"29,86000061";"29,52";"32,26";"20,58";66;;"35,5";"35,9";"3,24";"3,64"
28/11/2020 13:25:31;Forehead;"30,18000031";"29,95999908";"30,43";"32,22";"23,88";77;;"35,5";"35,9";"3,28";"3,68"
28/11/2020 13:30:55;Forehead;"29,62999916";"29,64999962";"31,36";"33,83";"21,7";66;;"35,5";"35,9";"1,67";"2,07"
28/11/2020 13:31:24;Forehead;"29,87999916";"29,81999969";"32,16";"33,28";"25,82";60;;"35,5";"35,9";"2,22";"2,62"
28/11/2020 13:32:08;Forehead;"29,94000053";"29,92000008";"21,93";"23,75";"20,41";60;;"35,5";"35,9";"11,75";"12,15"
28/11/2020 13:32:26;Forehead;"29,98999977";"29,96999931";"28,91";"32,68";"23,14";40;;"35,5";"35,9";"2,82";"3,22"
28/11/2020 13:32:40;Forehead;"30,17000008";"30,06999969";"27,7";"32,24";"20,47";66;;"35,5";"35,9";"3,26";"3,66"
28/11/2020 13:33:09;Forehead;"30,29999924";"30,17000008";"29,22";"32,59";"20,09";60;;"35,5";"35,9";"2,91";"3,31"
28/11/2020 13:50:31;Forehead;"30,63999939";"30,65999985";"26,8";"33,58";"18,12";1330;;"35,5";"35,9";"1,92";"2,32"
28/11/2020 13:53:07;Forehead;"30,68000031";"30,71999931";26;"33,25";"19,79";170;;"35,5";"35,9";"2,25";"2,65"
